text ner


➢ O
Having O
knowledge O
in O
Energy O
( O
Petroleum O
) O
& O
Health O
Care O
domains O


➢ O
Involved O
in O
preparation O
of O
Test O
Scenarios O


➢ O
Preparing O
Test O
Data O
for O
the O
test O
cases O

https://www.indeed.com/r/Harini-Komaravelli/2659eee82e435d1b?isid=rex-download&ikw=download-top&co=IN O
https://www.indeed.com/r/Harini-Komaravelli/2659eee82e435d1b?isid=rex-download&ikw=download-top&co=IN O

➢ O
Experienced O
in O
development O
and O
execution O
of O
Test O
cases O
effectively O


➢ O
Experienced O
in O
Functional O
testing O
, O
GUI O
testing O
, O
Smoke O
testing O
, O
Regression O
testing O
and O
Integration O
Testing O

➢ O
Experienced O
in O
doing O
Accessibility O
testing O
of O
an O
application O

➢ O
Ability O
to O
understand O
user O
Requirements O
, O
Functional O
and O
Design O
specifications O


➢ O
Good O
knowledge O
of O
SDLC O
and O
STLC O
processes O


➢ O
Deciding O
the O
Severity O
and O
Priority O
of O
bugs O


➢ O
Experience O
in O
using O
Microsoft O
Test O
Manager O
& O
Oracle "U-Companies worked at"
Test O
Manager O
as O
Test O
Management O
Tools O


➢ O
Having O
good O
experience O
in O
testing O
windows O
based O
& O
web O
based O
applications O


➢ O
Involved O
in O
Client O
Interactions O
for O
reviews O
, O
issues O
and O
for O
any O
clarifications O


➢ O
Web O
Services O
Testing O

➢ O
Writing O
Test O
Scripts O
in O
QTP O
, O
Testcomplete O


➢ O
Creating O
Object O
Repositories O
and O
Function O
Libraries O
in O
QTP O


➢ O
Enhanced O
QTP O
scripts O
using O
VB O
Script O


➢ O
Strong O
experience O
in O
working O
with O
Blue O
Prism O
tool O

➢ O
Worked O
on O
different O
Environments O
like O
Windows O
Application O
& O
Web O
Application O
Technical O
Skills O
: O

❑ O
Test O
Automation O
Tools O
: O
Blue O
Prism O
, O
QTP O
10.0 O
, O
Testcomplete O

❑ O
Test O
Management O
Tool O
: O
Microsoft O
Test O
Manager O
, O
Oracle "U-Companies worked at"
Test O
Manager O
& O
JIRA O

❑ O
Databases O
: O
Oracle "U-Companies worked at"
10 O
g O
, O
SQL O
Server O


❑ O
Operating O
Systems O
: O
Windows O
7 O
Project O
1 O
: O
Title O
: O
Cadence O
Client O
: O
Baker O
Hughes O
Technologies O
: O
Microsoft O
Visual O
Studio O
and O
Microsoft O
Team O
Foundation O
Server O
Client O
Background O
: O
An O
oilfield O
services O
company O
delivering O
focused O
efforts O
on O
shale O
gas O
and O
other O
oilfield O
services O

It O
provides O
services O
, O
tools O
and O
software O
for O
drilling O
and O
formation O
evaluation O
, O
well O
completion O
, O
production O
management O
, O
seismic O
data O
collection O
and O
interpretation O

Project O
Description O
: O

AUT O
( O
Application O
under O
test O
) O
is O
the O
next O
generation O
revolutionary O
, O
robust O
, O
easy O
to O
use O
scalable O
well O
site O
data O
acquisition O
processing O
and O
interpretation O
system O
for O
Client O
's O
Drilling O
Services O
to O
deliver O
services O
that O
meets O
cross O
divisional O
business O
requirements O
consistently O

Project O
2 O
: O
Description O
: O
Paragon O
supports O
your O
entire O
care O
team O
with O
one O
tool O
that O
your O
clinicians O
need O
to O
help O
deliver O
the O
best O
patient O
care O
Designed O
by O
physicians O
, O
nurses O
, O
pharmacists O
and O
mid O
level O
providers O
that O
have O
a O
first O
- O
hand O
understanding O
of O
clinical O
workflow O
needs O
, O
Paragon O
clinical O
applications O
allow O
your O
caregivers O
to O
focus O
on O
what O
matters O
most O
; O
spending O
time O
caring O
for O
patients O
Since O
Paragon O
is O
fully O
- O
integrated O
across O
all O
applications O
and O
built O
around O
a O
single O
patient O
database O
, O
information O
entered O
anywhere O
in O
the O
system O
is O
immediately O
available O
to O
the O
entire O
care O
team O
Immediate O
access O
not O
only O
helps O
clinicians O
make O
better O
treatment O
decisions O
- O
it O
also O
helps O
promote O
patient O
safety O
Paragon O
offers O
a O
broad O
suite O
of O
multidisciplinary O
clinical O
software O
solutions O
together O
with O
anytime O
, O
anywhere O
access O
to O
the O
complete O
patient O
record O

Responsibilities O
: O

• O
Performed O
Smoke O
testing O
and O
Regression O
testing O


• O
Involved O
in O
Generating O
and O
Executing O
Test O
Script O
using O
Quick O
Test O
Pro O
& O
Blue O
Prism O

• O
Usability O
and O
User O
Interface O
Testing O


• O
Involved O
in O
Defect O
tracking O
and O
reporting O
the O
bugs O
using O
TFS O

• O
Participated O
in O
frequent O
walk O
- O
through O
meetings O
with O
Internal O
Quality O
Assurance O
groups O
and O
with O
development O
groups O


• O
Participated O
in O
client O
calls O
and O
clarifying O
the O
doubts O
by O
having O
AT&T O
sessions O

• O
Involved O
in O
functional O
, O
regression O
and O
smoke O
testing O
to O
validate O
the O
application O
data O
changes O
done O
in O
windows O
application O

• O
Certifying O
the O
build O
status O
by O
running O
the O
scripts O
as O
part O
of O
smoke O
testing O
Project O
3 O
: O
Description O
: O
Food O
& O
Beverages O
R&A O
: O
Easily O
manage O
business O
across O
multiple O
locations O
while O
reducing O
IT O
cost O
and O
complexity O
Cloud O
- O
based O
point O
- O
of O
- O
sale O
( O
POS O
) O
solutions O
enable O
centralized O
enterprise O
management O
with O
lower O
upfront O
costs O
and O
a O
smaller O
footprint O

Responsibilities O
: O

• O
Performed O
Functional O
testing O
and O
Regression O
testing O


• O
Involved O
in O
Generating O
and O
Executing O
Test O
Scripts O
using O
Blue O
Prism O
tool O
and O
Open O
script O

• O
Involved O
in O
preparing O
bots O
using O
Blue O
Prism O
tool O


• O
Accessibility O
testing O
of O
the O
web O
application O

• O
Involved O
in O
Defect O
tracking O
and O
reporting O
the O
bugs O
using O
JIRA O

• O
WebServices O
testing O
by O
calling O
API O
's O
to O
export O
the O
data O
Rohit O
Chachad O
Mumbai O
, O
Maharashtra O
- O
Email O
me O
on O
Indeed O
: O
indeed.com/r/Rohit-Chachad/164fff9838407667 O

WORK O
EXPERIENCE O
Manager -
- -
Sales -
& -
Marketing -

- O
September O
2011 O
to O
Present O
Responsibilities O
and O
contributions O

➲ O
Commercial O
Area O
: O

• O
Meet O
the O
needs O
of O
different O
clients O
( O
international O
clients O
) O
make O
offers O
and O
quotations O
of O
home O
products O
and O
present O
according O
to O
new O
trends O
and O
requirements O
of O
each O
customer O
depending O
on O
the O
product O
requirements O


• O
Develop O
new O
customers O
in O
European O
and O
African O
markets O


• O
Deliver O
comprehensive O
and O
accurate O
quotes O
through O
work O
with O
sales O
assistants O
and O
clients O


• O
Arranging O
client O
visit O
with O
manufacturers O
and O
explaining O
the O
Export O
procedure O


• O
Build O
good O
rapport O
with O
Manufacturers O
for O
Export O
Sales O


• O
Establishing O
new O
, O
and O
maintaining O
existing O
, O
relationships O
with O
customers O


• O
Negotiating O
and O
closing O
sales O
by O
agreeing O
terms O
and O
conditions O


• O
Identify O
key O
areas O
for O
improvements O
by O
conducting O
cost O
and O
profit O
analysis O


• O
Coordinate O
and O
track O
all O
samples O
and O
goods O
sent O
to O
the O
clients O


• O
Create O
instruction O
sheets O
for O
products O
that O
it O
requires O
according O
to O
market O
demands O


➲ O
Export O
Area O
: O

• O
Receive O
customer O
purchase O
order O
and O
negotiate O
delivery O
times O
, O
according O
to O
customer O
's O
requirement O
and O
the O
production O
capacity O
of O
the O
factories O
, O
the O
main O
term O
of O
FOB O
/ O
CIF O
negotiation O


• O
Create O
more O
numbers O
for O
each O
purchase O
order O
and O
generate O
instructions O
for O
product O
labeling O
and O
master O
boxes O


• O
Perform O
complete O
follow O
- O
up O
for O
both O
exports O
and O
for O
the O
international O
sales O
, O
from O
the O
purchase O
order O
is O
received O
until O
the O
product O
is O
delivered O
to O
the O
customer O
, O
including O
the O
payment O
of O
advances O
or O
Letter O
of O
Credit O


• O
Keep O
track O
of O
invoices O
and O
prepare O
reports O
to O
expedite O
the O
billing O
process O


• O
To O
ensure O
that O
shipments O
are O
in O
compliance O
with O
the O
laws O
and O
regulations O
governing O
the O
export O
industry O

Asst B-Designation
Manager L-Designation
-Procurement O
MAHINDRA "B-Companies worked at"
FIRST "I-Companies worked at"
CHOICE "L-Companies worked at"
WHEELS "I-Companies worked at"
Ltd "L-Companies worked at"
- O
May O
2009 O
to O
July O
2011 O
Responsibilities O
and O
contributions O
https://www.indeed.com/r/Rohit-Chachad/164fff9838407667?isid=rex-download&ikw=download-top&co=IN O
Assist O
the O
manager O
in O
organizing O
, O
planning O
and O
implementing O
strategy O

Handling O
team O
of O
four O
Executives O
for O
procurement O
of O
vehicles O
from O
various O
sources O

Identifying O
prospective O
clients O
by O
extensive O
study O
of O
market O
trends O
and O
demand O
& O
supply O
analysis O
and O
mapping O
requirements O
adding O
to O
business O
growth O

Market O
research O
on O
pricings O
to O
analyze O
& O
assess O
market O
potential O
and O
the O
ongoing O
trends O
, O
tracking O
competitor O
activities O
for O
providing O
valuable O
inputs O
to O
fine O
- O
tune O
selling O
& O
Setting O
monthly O
targets O
with O
the O
team O

To O
generate O
leads O
through O
Corporate O
company O
's O
Organize O
and O
maintain O
computerized O
records O
containing O
vendor O
and O
bid O
information O

Assistance O
with O
the O
preparation O
of O
Request O
for O
Quotation O
, O
Initiations O
to O
Bid O
, O
Requests O
for O
Proposal O
and O
co O
- O
ordination O
of O
their O
timely O
dispatch O

Coordination O
with O
Car O
manufacturer O
's O
, O
Leasing O
companies O
, O
and O
Taxi O
operating O
company O
for O
bulk O
procurement O

Coordinate O
and O
schedule O
meetings O
and O
appointments O
as O
requested O
, O
respond O
to O
inquiries O
which O
do O
not O
require O
the O
personal O
attention O
of O
the O
Procurement O
Specialist O

To O
keep O
track O
of O
all O
proper O
documents O
as O
per O
the O
files O
of O
vehicles O
purchased O

Keep O
track O
of O
daily O
report O
on O
basis O
of O
evaluation O
& O
conversion O
of O
vehicles O
& O
prepare O

MIS O
for O
whole O
month O

Procurement B-Designation
Executive L-Designation
MAHINDRA "B-Companies worked at"
FIRST "I-Companies worked at"
CHOICE "L-Companies worked at"
- O
June O
2007 O
to O
April O
2009 O
Responsibilities O
and O
contributions O
To O
study O
market O
potential O
, O
competitors O
, O
Target O
segment O
& O
accordingly O
setting O
up O
Monthly O
targets O

To O
generate O
leads O
through O
Internet O
& O
SMS O

To O
keep O
track O
of O
all O
proper O
documents O
as O
per O
the O
files O
of O
vehicles O
purchased O

To O
do O
regular O
follow O
- O
up O
with O
the O
customers O

To O
prepare O
daily O
report O
on O
basis O
of O
evaluation O
& O
conversion O
of O
vehicles O
& O
prepare O
MIS O
for O
whole O
month O

To O
discuss O
productivity O
on O
weekly O
basis O
with O
higher O
authority O

Attending O
training O
programs O
& O
review O
meetings O
every O
month O

Report O
generation O
on O
procurement O
activities O
& O
analyzing O
the O
same O
for O
better O
performance O

Attended O
training O
program O
of O
two O
days O
in O
Procurement O

Service B-Designation
Advisor L-Designation
TOYOTA "B-Companies worked at"
LAKOZY "I-Companies worked at"
Auto "I-Companies worked at"
Pvt "I-Companies worked at"
Ltd "L-Companies worked at"
- O
June O
2006 O
to O
May O
2007 O
Body O
& O
Paint O
) O
Responsibilities O
and O
contributions O
Handling O
accident O
repair O
jobs O

Job O
card O
opening O
& O
closing O

Giving O
proper O
estimation O
and O
submitting O
the O
claim O
papers O
to O
the O
insurance O
company O

Handling O
Insurance O
claims O
& O
getting O
the O
survey O
done O

Job O
allocations O
to O
the O
Technicians O

Controlling O
Maintenance O
& O
Repair O
, O
Paint O
vehicles O

To O
understand O
customers O
problems O
& O
try O
to O
give O
perfect O
solution O

Work O
shop O
supervision O
& O
final O
inspection O
of O
the O
vehicles O

To O
prepare O
internal O
reports O
on O
daily O
inventory O
of O
vehicles O
& O
reporting O
to O
service O
manager O

Training O
Graph O
Worked O
as O
trainee O
technician O
in O
SPECTRA O
MOTORS O
( O
MARUTI O
SUZUKI O
) O
for O
two O
months O

Worked O
as O
trainee O
technician O
in O
petrol O
& O
diesel O
generators O
for O
KING O
'S O
TECHNOLOGIES O
for O
six O
months O


EDUCATION O
Diploma B-Degree
in I-Degree
Automobil I-Degree
Engineering L-Degree
Dnyaneshwar O
Vidyapeeth O
- O
Mumbai O
, O
Maharashtra O

2003 O
to O
2006 O
High O
School O
Certificate O
in O
Examination O
Mumbai O
University O
- O
Mumbai O
, O
Maharashtra O

2001 O
to O
2002 O

SKILLS O

PROCUREMENT O
( O
4 O
years O
) O
, O
PATIENCE O
( O
Less O
than O
1 O
year O
) O
, O
SELF O
- O
STARTER O
( O
Less O
than O
1 O
year O
) O
, O
TEAM O

PLAYER O
( O
Less O
than O
1 O
year O
) O

ADDITIONAL O
INFORMATION O
Competencies O
: O
Able O
to O
uphold O
and O
respect O
procurement O
ethics O
and O
to O
conduct O
activities O
with O
integrity O


A O
team O
player O
who O
demonstrates O
patience O
, O
flexibity O
and O
honesty O

Be O
willing O
and O
able O
to O
meet O
tight O
deadlines O
and O
work O
long O
hours O
when O
required O


A O
self O
- O
starter O
, O
who O
is O
able O
to O
plan O
and O
manage O
his O
own O
work O
, O
takes O
initiatives O
and O
strives O
to O
meet O
deadlines O

Be O
able O
to O
work O
in O
a O
multicultural O
environment O

For O
the O
right O
opportunity O
I O
am O
definitely O
willing O
to O
relocate O

Strengths O
: O
Confident O
/ O
Optimistic O
/ O
Proactive O
/ O
Good O
Communication O
Mahesh O
Chalwadi O
Area -
Sales -
Manager/ -
Region B-Designation
Sales I-Designation
Manager L-Designation
- O
Diagnostics "B-Companies worked at"
Healthcare "L-Companies worked at"
Navi O
Mumbai O
, O
Maharashtra O
- O
Email O
me O
on O
Indeed O
: O
indeed.com/r/Mahesh-Chalwadi/ O
ecda757cb2ec5e91 O
Hardworking O
& O
Proffesional O
Area B-Designation
Sales I-Designation
Manager L-Designation
with O
12 O
Years O
of O
Rich O
experience O
currently O
associated O
with O
Suburban "B-Companies worked at"
Diagnostics "I-Companies worked at"
India "I-Companies worked at"
Pvt "I-Companies worked at"
Ltd "L-Companies worked at"
( O
Mumbai O
) O
Handling O
Healthcare O
diagnostics O
Sales O
& O
Marketing O
in O
Navi O
Mumbai O
Region O
Handling O
Doctors O
Channels O
, O
Hospital O
, O
Pathology O
Labs O
And O
Walk O
in O
Buisness O
for O
organisation O


❖ O
Proven O
ability O
in O
achieving O
/ O
exceeding O
targets O
, O
opening O
new O
and O
profitable O
product O
/ O
services O
markets O
and O
setting O
up O
business O
operations O
in O
untapped O
markets O


❖ O
Dynamic O
sales O
career O
reflecting O
record O
breaking O
performance O
in O
driving O
new O
business O
through O
key O
accounts O
and O
establishing O
strategic O
partnerships O
and O
dealer O
relationships O
to O
increase O
channel O
revenue O


❖ O
Outstanding O
success O
in O
building O
and O
maintaining O
relationships O
with O
key O
corporate O
decision O
makers O
, O
establishing O
large O
volume O
& O
high O
profit O
accounts O
and O
maintaining O
top O
& O
bottom O
line O
profitability O


❖ O
Result O
oriented O
achiever O
with O
excellent O
track O
record O
for O
identifying O
opportunities O
for O
accelerated O
growth O

WORK O
EXPERIENCE O
Area O
Sales O
manger O
Suburban "B-Companies worked at"
Diagnostics "I-Companies worked at"
India "I-Companies worked at"
Pvt "I-Companies worked at"
Ltd "L-Companies worked at"
- O
Navi O
Mumbai O
, O
Maharashtra O
- O
March O
2009 O
to O
Present O
Regional B-Designation
Sales I-Designation
Manager L-Designation
British "B-Companies worked at"
Life "I-Companies worked at"
Science "I-Companies worked at"
Pvt "I-Companies worked at"
Ltd "L-Companies worked at"
- O
Mumbai O
, O
Maharashtra O
- O
May O
2013 O
to O
March O
2015 O
First O
Line O
Manager O
- O
Mumbai O
) O
Area B-Designation
Sales I-Designation
Manager L-Designation
Mead "B-Companies worked at"
Johnson "I-Companies worked at"
Nutrition "I-Companies worked at"
( "I-Companies worked at"
India "I-Companies worked at"
) "I-Companies worked at"
Pvt "I-Companies worked at"
Ltd "L-Companies worked at"
- O
Navi O
Mumbai O
, O
Maharashtra O
- O
March O
2010 O
to O
April O
2013 O
Territory B-Designation
Manager L-Designation
Mead "B-Companies worked at"
Johnson "I-Companies worked at"
Nutrition "I-Companies worked at"
( "I-Companies worked at"
India "I-Companies worked at"
) "I-Companies worked at"
Pvt "I-Companies worked at"
Ltd "L-Companies worked at"
- O
October O
2009 O
to O
February O
2010 O
Trade B-Designation
Sales I-Designation
Executive L-Designation
Mead "B-Companies worked at"
Johnson "I-Companies worked at"
Nutrition "I-Companies worked at"
( "I-Companies worked at"
India "I-Companies worked at"
) "I-Companies worked at"
Pvt "I-Companies worked at"
Ltd "L-Companies worked at"
- O
https://www.indeed.com/r/Mahesh-Chalwadi/ecda757cb2ec5e91?isid=rex-download&ikw=download-top&co=IN O
https://www.indeed.com/r/Mahesh-Chalwadi/ecda757cb2ec5e91?isid=rex-download&ikw=download-top&co=IN O
March O
2009 O
to O
September O
2009 O
Regional B-Designation
Manager L-Designation
Wockhardt "B-Companies worked at"
Ltd "L-Companies worked at"
- O
Mumbai O
, O
Maharashtra O
- O
March O
2008 O
to O
February O
2009 O
Manger O
Wockhardt "B-Companies worked at"
Ltd "L-Companies worked at"
- O
Mumbai O
, O
Maharashtra O
- O
March O
2007 O
to O
February O
2009 O
Territory B-Designation
Manager L-Designation
Wockhardt "B-Companies worked at"
Ltd "L-Companies worked at"
- O
March O
2007 O
to O
January O
2008 O
Medical B-Designation
Representative L-Designation
Ochoa "B-Companies worked at"
Labs "L-Companies worked at"
- O
Navi O
Mumbai O
, O
Maharashtra O
- O
February O
2005 O
to O
February O
2007 O
Navi O
Mumbai O
) O

FUNCTIONAL O
ACCOUNTABILITIES O
Sales O
& O
Marketing O
: O

* O
Oversaw O
marketing O
and O
sales O
operations O
for O
achieving O
increased O
growth O
, O
profitability O
& O
share O


* O
Successfully O
conducted O
Para O
- O
medical O
activity O
programs O
in O
institution O
for O
nurses O
/ O
RMO O
for O
building O
relationship O
& O
increasing O
the O
business O

* O
Excelled O
in O
identifying O
renowned O
doctors O
in O
the O
territory O
and O
effectively O
held O
their O
prescription O
support O
leading O
to O
multi O
- O
fold O
increase O
in O
business O
volume O


* O
Handled O
Nutrition O
products O
for O
departments O
of O
Pediatrics O
/ O
Gynecology O


* O
Also O
handled O
products O
of O
Antibiotics O
, O
Vaccines O
, O
Dermatological O
and O
general O
segments O


EDUCATION O
B.Com U-Degree
Mumbai O
University O
- O
Mumbai O
, O
Maharashtra O

2001 O

ADDITIONAL O
INFORMATION O

CORE O
COMPETENCIES O
Corporate O
Strategy O
& O
Leadership O
Inventory O
Management O
Budgeting O
& O
ROI O
Accountability O
Market O
Research O
& O
Development O
Promotion O
& O
Branding O
Product O
Development O
& O
Launch O
Key O
Account O
Management O
Team O
Management O
Client O
Relationship O
Management O

TECHNICAL O
SKILLS O
Windows O
XP O
2010 O
, O
MS O
Office O
& O
Internet O
Applications O
& O
Power O
Point O
Presentation O

PERSONAL O
CREDENTIALS O
Shaikh O
Ansar O
Sales B-Designation
Manager L-Designation
in O
FMCG "U-Companies worked at"
Mumbai O
, O
Maharashtra O
- O
Email O
me O
on O
Indeed O
: O
indeed.com/r/Shaikh-Ansar/bc1a253dcfeb5672 O
Career O
Profile O
& O
Career O
Objective O
Sales O
professional O
with O
more O
than O
9 O
years O
combined O
experience O
in O
sales O
and O
marketing O
roles O
for O
the O
FMCG "U-Companies worked at"
Industry O

Skilled O
in O
leading O
sales O
teams O
to O
penetrate O
new O
markets O
with O
latest O
FMCG "U-Companies worked at"
products O
to O
achieve O
sales O
goals O

Objective O
Managerial O
position O
in O
Sales O
and O
Marketing O
wherein O
education O
, O
experience O
and O
skills O
can O
be O
efficiently O
utilized O
to O
increase O
the O
sales O
volume O
and O
profitability O
of O
the O
firm O
Build O
a O
strong O
distribution O
network O
for O
achieving O
greater O
market O
development O
by O
fulfilling O
the O
following O
underlying O
functions O
: O
Leading O
sales O
teams O
to O
achieve O
sales O
objectives O

Identifying O
potential O
customers O
in O
the O
market O

Comparing O
products O
and O
their O
substitutes O
based O
on O
a O
range O
of O
criteria O

Managing O
the O
firm O
’s O
sales O
budget O
and O
costs O
– O
Estimating O
costs O
involved O

EDUCATIONAL O
BACKGROUND O
Professional O
: O
Master O
of O
Business O
Administration O
, O
specialisation O
in O
Marketing O
from O
Pune O
University O
in O
2009 O

Academic O
: O
Bachelor B-Degree
of I-Degree
Computer I-Degree
Science L-Degree
( O
IT O
) O
with O
78 O
% O
from O
Dr O

BAMU O
University O
, O
Aurangabad O
in O
2006 O


TECHNICAL O
SKILLS O
Operating O
System O
: O
Windows O
[ O
… O
] O
MS O
- O
DOS O
, O
Basic O
Software O
knowledge O
( O
C O
, O
C++ O
, O
Java O
, O
V.B. O
) O
Database O
: O
MS- O
Access O
Others O
: O
MS O
- O
